id,villeLowerCase,zipCode
115,saint cyr sur menthon,1380
116,serrieres sur ain,1450
117,nivollet montgriffon,1230
118,izernore,1580
119,saint nizier le desert,1320
120,guereins,1090
121,illiat,1140
122,la trancliere,1160
123,saint didier de formans,1600
124,merignat,1450
125,saint eloi,1800
126,la chapelle du chatelard,1240
127,saint jean de niost,1800
128,savigneux,1480
129,nattages,1300
130,saint benoit,1300
131,douvres,1500
132,francheleins,1090
133,dortan,1590
134,saint germain les paroisses,1300
135,miribel,1700
136,lancrans,1200
137,echenevex,1170
138,saint jean sur veyle,1290
139,billiat,1200
140,l abergement de varey,1640
141,villeneuve,1480
142,villars les dombes,1330
143,thezillieu,1110
144,saint etienne sur reyssouze,1190
145,souclin,1150
146,saint just,1250
147,civrieux,1390
148,argis,1230
149,talissieu,1510
150,birieux,1330
151,saint julien sur veyle,1540
152,thoiry,1710
153,laiz,1290
154,cressin rochefort,1350
155,saint champ,1300
156,saint georges sur renon,1400
157,lantenay,1430
158,vernoux,1560
159,cormaranche en bugey,1110
160,sainte euphemie,1600
161,beaupont,1270
162,brens,1300
163,ramasse,1250
164,divonne les bains,1220
165,leaz,1200
166,villes,1200
167,saint julien sur reyssouze,1560
168,groslee,1680
169,vandeins,1660
170,verjon,1270
171,saint andre sur vieux jonc,1240
172,saint andre d huiriat,1290
173,grilly,1220
174,cessy,1170
175,ordonnaz,1510
176,vescours,1560
177,meillonnas,1370
178,geovreisset,1100
179,ceyzerieu,1350
180,beard geovreissiat,1460
181,la burbanche,1510
182,perrex,1540
183,villemotier,1270
184,jasseron,1250
185,corveissiat,1250
186,journans,1250
187,sermoyer,1190
188,charix,1130
189,arbignieu,1300
190,leyssard,1450
191,saint jean de thurigneux,1390
192,frans,1480
193,tenay,1230
194,bage la ville,1380
195,montmerle sur saone,1090
196,courmangoux,1370
197,baneins,1990
198,lagnieu,1150
199,attignat,1340
200,saint andre de bage,1380
201,pont de vaux,1190
202,amberieu en bugey,1500
203,peyzieux sur saone,1140
204,crozet,1170
205,seyssel,1420
206,beynost,1700
207,versonnex,1210
208,saint laurent sur saone,1620
209,artemare,1510
210,montracol,1310
211,parves,1300
212,pugieu,1510
213,virieu le grand,1510
214,saint remy,1310
215,rance,1390
216,grieges,1290
217,grand corent,1250
218,outriaz,1430
219,montagnieu,1470
220,champagne en valromey,1260
221,amberieux en dombes,1330
222,la boisse,1120
223,parcieux,1600
224,saint didier d aussiat,1340
225,saint nizier le bouchoux,1560
226,ars sur formans,1480
227,anglefort,1350
228,corlier,1110
229,ferney voltaire,1210
230,saint maurice de remens,1500
231,chatillon la palud,1320
232,saint sulpice,1340
233,saint bois,1300
234,virignin,1300
235,premillieu,1110
236,genouilleux,1090
237,reyssouze,1190
238,collonges,1550
239,saint germain de joux,1130
240,bregnier cordon,1300
241,saint martin le chatel,1310
242,marignieu,1300
243,les neyrolles,1130
244,sulignat,1400
245,beny,1370
246,injoux genissiat,1200
247,chanay,1420
248,chatillon sur chalaronne,1400
249,farges,1550
250,saint alban,1450
251,curtafond,1310
252,viriat,1440
253,belleydoux,1130
254,bage le chatel,1380
255,sainte olive,1330
256,saint genis sur menthon,1380
257,domsure,1270
258,chavannes sur suran,1250
259,priay,1160
260,peyrieu,1300
261,lalleyriat,1130
262,sergy,1630
263,saint martin du frene,1430
264,saint maurice de beynost,1700
265,servas,1240
266,cuzieu,1300
267,jayat,1340
268,lavours,1350
269,chevroux,1190
270,pollieu,1350
271,beligneux,1360
272,brenaz,1260
273,benonces,1470
274,saint jean le vieux,1640
275,beauregard,1480
276,oyonnax,1100
277,mionnay,1390
278,germagnat,1250
279,coligny,1270
280,simandre sur suran,1250
281,l abergement clemenciat,1400
282,lescheroux,1560
283,ornex,1210
284,dommartin,1380
285,lompnas,1680
286,bettant,1500
287,armix,1510
288,feillens,1570
289,chavornay,1510
290,challex,1630
291,vongnes,1350
292,magnieu,1300
293,groissiat,1810
294,dompierre sur chalaronne,1400
295,montluel,1120
296,le poizat,1130
297,hostiaz,1110
298,montanges,1200
299,sainte julie,1150
300,bey,1290
301,sonthonnax la montagne,1580
302,mezeriat,1660
303,bellignat,1810
304,saint marcel,1390
305,belley,1300
306,corbonod,1420
307,neyron,1700
308,saint paul de varax,1240
309,pressiat,1370
310,chazey bons,1300
311,servignat,1560
312,marlieux,1240
313,andert et condon,1300
314,hautecourt romaneche,1250
315,crottet,1620
316,druillat,1160
317,dompierre sur veyle,1240
318,perouges,1800
319,rignieux le franc,1800
320,giron,1130
321,cerdon,1450
322,cruzilles les mepillat,1290
323,lelex,1410
324,lhopital,1420
325,segny,1170
326,cheignieu la balme,1510
327,saint vulbas,1150
328,echallon,1130
329,le montellier,1800
330,martignat,1810
331,ceyzeriat,1250
332,montcet,1310
333,vonnas,1540
334,buellas,1310
335,saint benigne,1190
336,chevillard,1430
337,bouligneux,1330
338,contrevoz,1300
339,champdor,1110
340,port,1460
341,surjoux,1420
342,champfromier,1410
343,vesines,1570
344,seillonnaz,1470
345,varambon,1160
346,le grand abergement,1260
347,jassans riottier,1480
348,asnieres sur saone,1570
349,condamine,1430
350,lhuis,1680
351,romans,1400
352,pizay,1120
353,certines,1240
354,ruffieu,1260
355,meximieux,1800
356,saint rambert en bugey,1230
357,ambronay,1500
358,cize,1250
359,saint germain sur renon,1240
360,villette sur ain,1320
361,dagneux,1120
362,boissey,1190
363,salavre,1270
364,brion,1460
365,labalme,1450
366,sauverny,1220
367,montceaux,1090
368,brenod,1110
369,miserieux,1600
370,prevessin moens,1280
371,lent,1240
372,marsonnas,1340
373,manziat,1570
374,trevoux,1600
375,bellegarde sur valserine,1200
376,bourg en bresse,1000
377,confort,1200
378,saint denis les bourg,1000
379,massignieu de rives,1300
380,saint etienne sur chalaronne,1140
381,bohas meyriat rignat,1250
382,chevry,1170
383,fareins,1480
384,gorrevod,1190
385,valeins,1140
386,vieu d izenave,1430
387,toussieux,1600
388,arbigny,1190
389,malafretaz,1340
390,samognat,1580
391,cras sur reyssouze,1340
392,messimy sur saone,1480
393,pougny,1550
394,sandrans,1400
395,pont de veyle,1290
396,mijoux,1170
397,saint jean de gonville,1630
398,saint andre le bouchoux,1240
399,chaneins,1990
400,joyeux,1800
401,tramoyes,1390
402,biziat,1290
403,izenave,1430
404,belmont luthezieu,1260
405,arbent,1100
406,sutrieu,1260
407,serrieres de briord,1470
408,aranc,1110
409,chaley,1230
410,curciat dongalon,1560
411,loyettes,1360
412,gex,1170
413,courtes,1560
414,bereziat,1340
415,lapeyrouse,1330
416,apremont,1100
417,villieu loyes mollon,1800
418,leyment,1150
419,etrez,1340
420,gercy,2140
421,villemontoire,2210
422,brancourt le grand,2110
423,licy clignon,2810
424,proisy,2120
425,chambry,2000
426,mont saint jean,2360
427,morgny en thierache,2360
428,mesnil saint laurent,2720
429,annois,2480
430,brunehamel,2360
431,audignicourt,2300
432,montigny sur crecy,2270
433,lor,2190
434,chivres en laonnois,2350
435,saint gobain,2410
436,ugny le gay,2300
437,happencourt,2480
438,prouvais,2190
439,azy sur marne,2400
440,terny sorny,2880
441,droizy,2210
442,pignicourt,2190
443,moussy verneuil,2160
444,aguilcourt,2190
445,montaigu,2820
446,moulins,2160
447,saulchery,2310
448,nanteuil la fosse,2880
449,guignicourt,2190
450,bucy le long,2880
451,longpont,2600
452,montgobert,2600
453,noircourt,2340
454,rozet saint albin,2210
455,chivy les etouvelles,2000
456,chavonne,2370
457,artonges,2330
458,oisy,2450
459,juvigny,2880
460,marchais en brie,2540
461,bouconville vauclair,2860
462,la bouteille,2140
463,ly fontaine,2440
464,logny les aubenton,2500
465,cuirieux,2350
466,iron,2510
467,joncourt,2420
468,effry,2500
469,jumigny,2160
470,chaourse,2340
471,saint remy blanzy,2210
472,beaumont en beine,2300
473,le plessier huleu,2210
474,estrees,2420
475,baulne en brie,2330
476,guivry,2300
477,variscourt,2190
478,chatillon sur oise,2240
479,soissons,2200
480,bray saint christophe,2480
481,le herie la vieville,2120
482,aubenton,2500
483,braye,2880
484,brissay choigny,2240
485,remaucourt,2100
486,seraucourt le grand,2790
487,berry au bac,2190
488,vivaise,2870
489,proviseux et plesnoy,2190
490,caumont,2300
491,villers le sec,2240
492,vichel nanteuil,2210
493,romery,2120
494,fontaine les clercs,2680
495,chery les pouilly,2000
496,pithon,2480
496,pithon,2480
497,beaurieux,2160
498,sinceny,2300
499,bouffignereux,2160
500,saint gengoulph,2810
501,pargny les bois,2270
502,montigny l allier,2810
503,beuvardes,2130
504,cuissy et geny,2160
505,reuilly sauvigny,2850
506,vailly sur aisne,2370
507,bievres,2860
508,berny riviere,2290
509,perles,2160
510,fontenelle en brie,2540
511,neuflieux,2300
512,sainte croix,2820
513,pargny la dhuys,2330
514,brenelle,2220
515,urvillers,2690
516,laversine,2600
517,origny sainte benoite,2390
518,cuiry housse,2220
519,la neuville les dorengt,2450
520,blanzy les fismes,2160
521,hargicourt,2420
522,villers sur fere,2130
523,la herie,2500
524,bonnesvalyn,2400
525,haution,2140
526,berzy le sec,2200
527,la vallee au ble,2140
528,le catelet,2420
529,gizy,2350
530,saint algis,2260
531,saint aubin,2300
532,bancigny,2140
533,villeneuve sur fere,2130
534,fleury,2600
535,quincy sous le mont,2220
536,besny et loizy,2870
537,chery les rozoy,2360
538,chauny,2300
539,sommette eaucourt,2480
540,lierval,2860
541,chezy sur marne,2570
542,oulches la vallee foulon,2160
543,anizy le chateau,2320
544,maizy,2160
545,fourdrain,2870
546,nampteuil sous muret,2200
547,urcel,2000
548,louatre,2600
549,barzy en thierache,2170
550,conde en brie,2330
551,dampleux,2600
552,sommelans,2470
553,pontruet,2490
554,oigny en valois,2600
555,loupeigne,2130
556,lhuys,2220
557,eparcy,2500
558,la chapelle monthodon,2330
559,morsain,2290
560,jaulgonne,2850
561,chermizy ailles,2860
562,becquigny,2110
563,festieux,2840
564,villers les guise,2120
565,nampcelles la cour,2140
566,montigny en arrouaise,2110
567,berrieux,2820
568,chigny,2120
569,muret et crouttes,2210
570,flavigny le grand et beaurain,2120
571,laon,2000
572,saint clement,2360
573,dercy,2270
574,anguilcourt le sart,2800
575,villers en prayeres,2160
576,chalandry,2270
577,laval en laonnois,2860
578,fressancourt,2800
579,le sourd,2140
580,fontaine notre dame,2110
581,chery chartreuve,2220
582,mortefontaine,2600
583,serain,2110
584,maast et violaine,2220
585,neuville sur ailette,2860
586,francilly selency,2760
587,bezu le guery,2310
588,marle,2250
589,leme,2140
590,cierges,2130
591,craonne,2160
592,courtemont varennes,2850
593,pommiers,2200
594,gland,2400
595,landouzy la cour,2140
596,montigny les conde,2330
597,leuilly sous coucy,2380
598,ploisy,2200
599,serval,2160
600,billy sur ourcq,2210
601,ambrief,2200
602,prisces,2140
603,roupy,2590
604,roncheres,2130
605,lugny,2140
606,chezy en orxois,2810
607,dhuizel,2220
608,etampes sur marne,2400
609,vaux en vermandois,2590
610,boue,2450
611,la fere,2800
612,saint michel,2830
613,castres,2680
614,mesbrecourt richecourt,2270
615,beugneux,2210
616,clermont les fermes,2340
617,condren,2700
618,franqueville,2140
619,arcy sainte restitue,2130
620,burelles,2140
621,rocourt saint martin,2210
622,commenchon,2300
623,voulpaix,2140
624,bucy les cerny,2870
625,renansart,2240
626,presles et boves,2370
627,lavaqueresse,2450
628,cuffies,2880
629,villequier aumont,2300
630,vendelles,2490
631,attilly,2490
632,berlancourt,2250
633,grisolles,2210
634,courcelles sur vesle,2220
635,sons et roncheres,2270
636,seringes et nesles,2130
637,grandlup et fay,2350
638,coincy,2210
639,marly gomont,2120
640,macogny,2470
641,tartiers,2290
642,gibercourt,2440
643,pontru,2490
644,trelou sur marne,2850
645,la ville aux bois les dizy,2340
646,amigny rouy,2700
647,charmes,2800
648,viffort,2540
649,machecourt,2350
650,nogent l artaud,2310
651,tannieres,2220
652,saint erme outre et ramecourt,2820
653,jouaignes,2220
654,vaucelles et beffecourt,2000
655,lesquielles saint germain,2120
656,aizy jouy,2370
657,faucoucourt,2320
658,chavigny,2880
659,veuilly la poterie,2810
660,mezy moulins,2650
661,gernicourt,2160
662,quincy basse,2380
663,sergy,2130
664,toulis et attencourt,2250
665,puiseux en retz,2600
666,leuze,2500
667,crezancy,2650
668,noyales,2120
669,marigny en orxois,2810
670,foreste,2590
671,wissignicourt,2320
672,tavaux et pontsericourt,2250
673,saponay,2130
674,ebouleau,2350
675,orainville,2190
676,missy les pierrepont,2350
677,neuilly saint front,2470
678,tergnier,2700
679,la ferte milon,2460
680,bassoles aulers,2380
681,le verguier,2490
682,ostel,2370
683,sissy,2240
684,leury,2880
685,la croix sur ourcq,2210
686,pernant,2200
687,etreux,2510
688,bruys,2220
689,fontenelle,2170
690,cerseuil,2220
691,voharies,2140
692,saint pierre aigle,2600
693,saint martin riviere,2110
694,nanteuil notre dame,2210
695,selens,2300
696,monthenault,2860
697,saint eugene,2330
698,etouvelles,2000
699,faverolles,2600
700,lislet,2340
701,vendeuil,2800
702,folembray,2670
703,courbes,2800
704,chacrise,2200
705,serches,2220
706,acy,2200
707,verneuil sous coucy,2380
708,bazoches sur vesles,2220
709,mauregny en haye,2820
710,hartennes et taux,2210
711,vasseny,2220
712,merval,2160
713,corcy,2600
714,bony,2420
715,breny,2210
716,brecy,2210
717,bruyeres sur fere,2130
718,flavy le martel,2520
719,pancy courtecon,2860
720,bosmont sur serre,2250
721,missy aux bois,2200
722,surfontaine,2240
723,dagny lambercy,2140
724,lanchy,2590
725,vaudesson,2320
726,coeuvres et valsery,2600
727,epieds,2400
728,villeneuve saint germain,2200
729,alaincourt,2240
730,soucy,2600
731,archon,2360
732,pargny filain,2000
733,germaine,2590
734,la neuville housset,2250
735,belleau,2400
736,paars,2220
737,laniscourt,2000
738,sermoise,2220
739,barenton bugny,2000
740,quierzy,2300
741,cerizy,2240
742,la ferte chevresis,2270
743,ramicourt,2110
744,bussiares,2810
745,bernot,2120
746,lerzy,2260
747,samoussy,2840
748,grougis,2110
749,macquigny,2120
750,la flamengrie,2260
751,servais,2700
752,bertricourt,2190
753,osly courtil,2290
754,verneuil sur serre,2000
755,mayot,2800
756,wassigny,2630
757,barenton cel,2000
758,englancourt,2260
759,athies sous laon,2840
760,froidestrees,2260
761,la malmaison,2190
762,manicamp,2300
763,barenton sur serre,2270
764,audigny,2120
765,ohis,2500
766,martigny,2500
767,barisis,2700
768,epaux bezu,2400
769,abbecourt,2300
770,hauteville,2120
771,benay,2440
772,la neuville en beine,2300
773,tupigny,2120
774,vervins,2140
775,dorengt,2450
776,saint gobert,2140
777,parcy et tigny,2210
778,saint pierre les franqueville,2140
779,mont notre dame,2220
780,mont saint martin,2220
781,chierry,2400
782,cutry,2600
783,chevennes,2250
784,montigny le franc,2250
785,bourg et comin,2160
786,saint agnan,2330
787,coulonges cohan,2130
788,premontre,2320
789,courtrizy et fussigny,2820
790,jumencourt,2380
791,clairfontaine,2260
792,sequehart,2420
793,agnicourt et sechelles,2340
794,roucy,2160
795,premont,2110
796,clastres,2440
797,le charmel,2850
798,allemant,2320
799,mont saint pere,2400
800,parfondeval,2360
801,chivres val,2880
802,aubencheul aux bois,2420
803,montfaucon,2540
804,les autels,2360
805,fontenoy,2290
806,crecy au mont,2380
807,morcourt,2100
808,neuville sur margival,2880
809,cys la commune,2220
810,marizy saint mard,2470
811,villeret,2420
812,amifontaine,2190
813,fontaine uterte,2110
814,dolignon,2360
815,etaves et bocquiaux,2110
816,rocquigny,2260
817,mortiers,2270
818,rozoy sur serre,2360
819,malzy,2120
820,bellenglise,2420
821,cerny en laonnois,2860
822,montloue,2340
823,sainte genevieve,2340
824,neuve maison,2500
825,bezu saint germain,2400
826,etreaupont,2580
827,berthenicourt,2240
828,thiernu,2250
829,laigny,2140
830,aisonville et bernoville,2110
831,crouy,2880
832,hirson,2500
833,bagneux,2290
834,autremencourt,2250
835,la celle sous montmirail,2540
836,conde sur aisne,2370
837,blerancourt,2300
838,monthurel,2330
839,petit verly,2630
840,soize,2340
841,saconin et breuil,2200
842,largny sur automne,2600
843,sommeron,2260
844,veslud,2840
845,liesse notre dame,2350
846,chaudun,2200
847,vuillery,2880
848,omissy,2100
849,pavant,2310
850,missy sur aisne,2880
851,cugny,2480
852,parfondru,2840
853,coingt,2360
854,fonsomme,2110
855,dury,2480
856,royaucourt et chailvet,2000
857,landricourt,2380
858,sissonne,2150
859,berlise,2340
860,ribemont,2240
861,sains richaumont,2120
862,filain,2000
863,chevregny,2000
864,montchalons,2860
865,brumetz,2810
866,taillefontaine,2600
867,guny,2300
868,fresnoy le grand,2230
869,nouvron vingre,2290
870,magny la fosse,2420
871,cuisy en almont,2200
872,montbavin,2000
873,vorges,2860
874,montescourt lizerolles,2440
875,pont arcy,2160
876,grugies,2680
877,bieuxy,2290
878,marcy,2720
879,braine,2220
880,orgeval,2860
881,marest dampcourt,2300
882,cilly,2250
883,harly,2100
884,rouvroy,2100
885,romeny sur marne,2310
886,douchy,2590
887,vauxtin,2220
888,rogecourt,2800
889,montigny lengrain,2290
890,houry,2140
891,pierrepont,2350
892,dohis,2360
893,brasles,2400
894,aubigny en laonnois,2820
895,paissy,2160
896,nouvion le comte,2800
897,monceau le neuf et faucouzy,2270
898,raillimont,2360
899,dammard,2470
900,passy sur marne,2850
901,lempire,2420
902,cuiry les chaudardes,2160
903,housset,2250
904,billy sur aisne,2200
905,belleu,2200
906,pontavert,2160
907,dizy le gros,2340
908,crouttes sur marne,2310
909,courmelles,2200
910,bichancourt,2300
911,beauvois en vermandois,2590
912,priez,2470
913,chassemy,2370
914,etrepilly,2400
915,artemps,2480
916,frieres faillouel,2700
917,wiege faty,2120
918,saint nicolas aux bois,2410
919,gricourt,2100
920,blesmes,2400
921,ville savoye,2220
922,mercin et vaux,2200
923,chevresis monceau,2270
924,beaurevoir,2110
925,saint bandry,2290
926,vregny,2880
927,vadencourt,2120
928,vierzy,2210
929,caillouel crepigny,2300
930,nizy le comte,2150
931,vendieres,2540
932,buzancy,2200
933,jeantes,2140
934,connigis,2330
935,torcy en valois,2810
936,coucy la ville,2380
937,goudelancourt les pierrepont,2350
938,passy en valois,2470
939,montgru saint hilaire,2210
940,mont d origny,2390
941,vassogne,2160
942,maissemy,2490
943,rogny,2140
944,venerolles,2510
945,clamecy,2880
946,viel arcy,2160
947,guyencourt,2160
948,mennevret,2630
949,caulaincourt,2490
950,oulchy le chateau,2210
951,guise,2120
952,champs,2670
953,sainte preuve,2350
954,proix,2120
955,ambleny,2290
956,ribeauville,2110
957,tugny et pont,2640
958,fresnes,2380
959,bourguignon sous montbavin,2000
960,neuvillette,2390
961,saint thomas,2820
962,marfontaine,2140
963,besmont,2500
964,lehaucourt,2420
965,brissy hamegicourt,2240
966,plomion,2140
967,savy,2590
968,puisieux et clanlieu,2120
969,ciry salsogne,2220
970,crupilly,2120
971,dommiers,2600
972,etreillers,2590
973,chouy,2210
974,landifay et bertaignemont,2120
975,silly la poterie,2460
976,nauroy,2420
977,lime,2220
978,aubigny aux kaisnes,2590
979,monceau le waast,2840
980,cuiry les iviers,2360
981,regny,2240
982,villers saint christophe,2590
983,chaillevois,2000
984,vezilly,2130
985,lappion,2150
986,fresnes en tardenois,2130
987,grand rozoy,2210
988,conde sur suippe,2190
989,celles les conde,2330
990,cessieres,2320
991,courboin,2330
992,verdilly,2400
993,sorbais,2580
994,thenailles,2140
995,menneville,2190
996,bonneil,2400
997,couvron et aumencourt,2270
998,chavignon,2000
999,gandelu,2810
1000,le thuel,2340
1001,septvaux,2410
1002,neufchatel sur aisne,2190
1003,boncourt,2350
1004,monampteuil,2000
1005,villiers saint denis,2310
1006,glennes,2160
1007,jussy,2480
1008,croix fonsomme,2110
1009,bertaucourt epourdon,2800
1010,bucilly,2500
1011,saint thibaut,2220
1012,landouzy la ville,2140
1013,goudelancourt les berrieux,2820
1014,colligis crandelain,2860
1015,nesles la montagne,2400
1016,la capelle,2260
1017,aizelles,2820
1018,vermand,2490
1019,monthiers,2400
1020,saint pierremont,2250
1021,celles sur aisne,2370
1022,evergnicourt,2190
1023,fossoy,2650
1024,muscourt,2160
1025,chaudardes,2160
1026,remigny,2440
1027,mons en laonnois,2000
1028,charly sur marne,2310
1029,chateau thierry,2400
1030,eppes,2840
1031,vauxrezis,2200
1032,chatillon les sons,2270
1033,vivieres,2600
1034,coyolles,2600
1035,rozieres sur crise,2200
1036,thenelles,2390
1037,nogentel,2400
1038,la chapelle sur chezy,2570
1039,concevreux,2160
1040,grandrieux,2360
1041,origny en thierache,2550
1042,achery,2800
1043,lesdins,2100
1044,liez,2700
1045,haramont,2600
1046,mennessis,2700
1047,levergies,2420
1048,ollezy,2480
1049,colonfay,2120
1050,vauxbuin,2200
1051,la vallee mulatre,2110
1052,revillon,2160
1053,watigny,2830
1054,grand verly,2120
1055,troesnes,2460
1056,nouvion et catillon,2270
1057,villers helon,2600
1058,buironfosse,2620
1059,courchamps,2810
1060,noyant et aconin,2200
1061,saint simon,2640
1062,beautor,2800
1063,presles et thierny,2860
1064,monceau les leups,2270
1065,montcornet,2340
1066,viels maisons,2540
1067,marizy sainte genevieve,2470
1068,autreppes,2580
1069,moy de l aisne,2610
1070,any martin rieux,2500
1071,esqueheries,2170
1072,trosly loire,2300
1073,fayet,2100
1074,harcigny,2140
1075,itancourt,2240
1076,brie,2870
1077,hinacourt,2440
1078,latilly,2210
1079,holnon,2760
1080,marchais,2350
1081,parpeville,2240
1082,vic sur aisne,2290
1083,vigneux hocquet,2340
1084,vezaponin,2290
1085,braye en thierache,2140
1086,retheuil,2600
1087,fesmy le sart,2450
1088,corbeny,2820
1089,fluquieres,2590
1090,pont saint mard,2380
1091,montlevon,2330
1092,epagny,2290
1093,vincy reuil et magny,2340
1094,montigny sous marle,2250
1095,bois les pargny,2270
1096,renneval,2340
1097,travecy,2800
1098,lesges,2220
1099,crecy sur serre,2270
1100,la selve,2150
1101,neuville saint amand,2100
1102,bouresches,2400
1103,beaume,2500
1104,le nouvion en thierache,2170
1105,erlon,2250
1106,viry noureuil,2300
1107,lizy,2320
1108,dravegny,2130
1109,suzy,2320
1110,deuillet,2700
1111,molinchart,2000
1112,la ville aux bois les pontavert,2160
1113,arrancy,2860
1114,saint christophe a berry,2290
1115,gronard,2140
1116,crepy,2870
1117,bruyeres et montberault,2860
1118,bethancourt en vaux,2300
1119,vauxaillon,2320
1120,charteves,2400
1121,marcy sous marle,2250
1122,clacy et thierret,2000
1123,goussancourt,2130
1124,margival,2880
1125,barzy sur marne,2850
1126,pinon,2320
1127,brancourt en laonnois,2320
1128,vassens,2290
1129,essigny le grand,2690
1130,cheret,2860
1131,essigny le petit,2100
1132,mareuil en dole,2130
1133,saint quentin,2100
1134,vendhuile,2420
1135,contescourt,2680
1136,monnes,2470
1137,domptin,2310
1138,besme,2300
1139,vauxcere,2160
1140,molain,2110
1141,ployart et vaurseine,2860
1142,hautevesnes,2810
1143,couvrelles,2220
1144,buire,2500
1145,aulnois sous laon,2000
1146,courmont,2130
1147,pargnan,2160
1148,martigny courpierre,2860
1149,saint mard,2220
1150,coucy le chateau auffrique,2380
1151,dallon,2680
1152,armentieres sur ourcq,2210
1153,mezieres sur oise,2240
1154,bergues sur sambre,2450
1155,la neuville bosmont,2250
1156,montreuil aux lions,2310
1157,meurival,2160
1158,septmonts,2200
1159,pleine selve,2240
1160,bellicourt,2420
1161,ancienville,2600
1162,leschelle,2170
1163,fieulaine,2110
1164,villers agron aiguizy,2130
1165,fere en tardenois,2130
1166,cramaille,2130
1167,homblieres,2720
1168,ognes,2300
1169,gouy,2420
1170,ressons le long,2290
1171,bucy les pierrepont,2350
1172,nouvion le vineux,2860
1173,rozoy bellevalle,2540
1174,rouvroy sur serre,2360
1175,versigny,2800
1176,assis sur serre,2270
1177,vaux andigny,2110
1178,fontaine les vervins,2140
1179,luzoir,2500
1180,montbrehain,2110
1181,erloy,2260
1182,papleux,2260
1183,seboncourt,2110
1184,hannapes,2510
1185,monceau sur oise,2120
1186,froidmont cohartille,2270
1187,resigny,2360
1188,sery les mezieres,2240
1189,merlieux et fouquerolles,2000
1190,l epine aux bois,2540
1191,andelain,2800
1192,jeancourt,2490
1193,essises,2570
1194,villers cotterets,2600
1195,soupir,2160
1196,camelin,2300
1197,longueval barbonval,2160
1198,gergny,2260
1199,bohain en vermandois,2110
1200,wimy,2500
1201,mondrepuis,2500
1202,chamouille,2860
1203,rougeries,2140
1204,hary,2140
1205,iviers,2360
1206,noroy sur ourcq,2600
1207,danizy,2800
1208,gauchy,2430
1209,laffaux,2880
1210,pouilly sur serre,2270
1211,trucy,2860
1212,vesles et caumont,2350
1213,oulchy la ville,2210
1214,bourguignon sous coucy,2300
1215,coucy les eppes,2840
1216,juvincourt et damary,2190
1217,trefcon,2490
1218,voyenne,2250
1219,launoy,2210
1220,craonnelle,2160
1221,vendresse beaulne,2160
1222,braye en laonnois,2000
1223,sancy les cheminots,2880
1224,remies,2270
1225,pierremande,2300
1226,cerny les bucy,2870
1227,pasly,2200
1228,autreville,2300
1229,oeuilly,2160
1230,saint paul aux bois,2300
1231,lucy le bocage,2400
1232,coupru,2310
1233,augy,2220
1234,essomes sur marne,2400
1235,venizel,2200
1236,neure,3320
1237,andelaroche,3120
1238,limoise,3320
